Column Name,Purpose,Format,Pattern,Example,Max Words,Max Items,Max Steps,Max Skills,Max Hashtags,Max Words per Step,Options,Color Code,Customer Facing,Rules,Quality Standards
Age,Specific age range for this activity,Age range,N/A,3-12 months,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,Must be within the Age Group range; Use format like '3-6 months' or '2-3 years'; Be more specific than Age Group; Consider developmental milestones; No overlaps between activities; Should be realistic and achievable,"Specific, realistic, achievable"
Estimated Time,How long the activity typically takes,Time range,N/A,10-15 min,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,"Use format like '10-15 min' or '5-10 min'; Be realistic for the age group; Consider attention spans; Include setup and cleanup time; No single numbers, always ranges; Should be achievable for busy parents","Realistic, achievable, age-appropriate"
Setup Time,How long it takes to prepare the activity,Time range,N/A,5-10 min,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,"Use format like '5-10 min' or '2-5 min'; Be realistic for busy parents; Consider material gathering and preparation; No single numbers, always ranges; Should be quick and easy; Focus on parent convenience","Quick, easy, parent-friendly"
Supervision Level,How much adult supervision is needed,Single word,N/A,High,N/A,N/A,N/A,N/A,N/A,N/A,"High, Medium, Low",🟢 Customer (Green),Yes,Must be one of the predefined options; Based on safety requirements and age; High = constant supervision needed; Medium = periodic check-ins needed; Low = minimal supervision needed; Consider safety and developmental needs,"Safety-focused, age-appropriate"
Materials,What parents need to gather for the activity,Semicolon-separated list,N/A,Silk fabric; Sponge; Cotton balls; Tray; Shallow container,N/A,6,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,Must be specific and clear; Use semicolons to separate items; No vague terms like 'various' or 'different'; Include quantities when helpful; Focus on items parents can easily find; No internal references or kit items; Should be realistic and accessible; Maximum 6 items,"Specific, clear, accessible"
Additional Information,Internal information and redundant materials,Semicolon-separated list,N/A,Learning progress tracker; Cognitive development kit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Contains internal references and redundant materials; Use semicolons to separate items; No customer-facing information; Should be kept separate from main materials,"Internal use only, not customer-facing"
Steps,"Clear, actionable instructions for parents",Semicolon-separated list,N/A,Fill a shallow tray with different textured materials; Place baby on their tummy near the tray; Let baby reach out and touch the textures; Describe what they're feeling; Watch their reactions; Clean up when done,N/A,N/A,8,N/A,N/A,20,N/A,🟢 Customer (Green),Yes,"Must be specific to the activity; Use semicolons to separate steps; Start with action verbs; Be clear and actionable; No generic instructions; Include safety considerations; Use parent-friendly language; Should be easy to follow; Include what to do and what to say; End with cleanup instructions; Maximum 8 steps, 20 words each","Specific, actionable, parent-friendly"
Skills,What skills the child will develop,Comma-separated list,N/A,"Tactile exploration, Sensory awareness, Hand-eye coordination",N/A,N/A,N/A,6,N/A,N/A,N/A,🟢 Customer (Green),Yes,Must be specific and measurable; Use commas to separate skills; Focus on developmental outcomes; No vague terms like 'learning' or 'development'; Should be observable behaviors; Use parent-friendly language; Include both physical and cognitive skills; Should match the activity content; Maximum 6 skills,"Specific, measurable, observable"
Hashtags,Keywords for searching and categorization,Comma-separated list with #,N/A,"#Tactile, #SensoryPlay, #InfantActivities",N/A,N/A,N/A,N/A,5,N/A,N/A,🟢 Customer (Green),Yes,"Must start with # symbol; Use commas to separate hashtags; Be relevant to the activity; Include age group, activity type, and skills; No spaces in hashtags; Should be searchable and discoverable; Use consistent terminology; Maximum 5 hashtags","Relevant, searchable, consistent"
Kit Materials,Materials provided in the activity kit,Semicolon-separated list,N/A,Activity kit; Step-by-step guide; Progress tracking sheet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Contains materials provided in the kit; Use semicolons to separate items; Internal reference only; Not customer-facing,"Internal use only, kit-specific"
General Instructions,General instructions for all activities,Semicolon-separated list,N/A,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Contains general instructions for all activities; Use semicolons to separate items; Internal reference only; Not customer-facing,"Internal use only, general instructions"
Last Updated,When the activity was last modified,Date,N/A,2025-09-27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Must be in YYYY-MM-DD format; Updated when activity is modified; Internal tracking only; Not customer-facing,"Accurate, consistent date format"
Feedback,Internal feedback and notes,Text,N/A,Needs more specific steps,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Contains internal feedback and notes; Free text format; Internal use only; Not customer-facing,"Internal use only, feedback tracking"
Updated By,Who last updated the activity,Text,N/A,Tharun,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Contains name of person who last updated; Free text format; Internal tracking only; Not customer-facing,"Internal use only, user tracking"
Last Synced,When the activity was last synced with Google Sheets,Date and time,N/A,2025-09-27 11:12:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Must be in YYYY-MM-DD HH:MM:SS format; Updated when synced with Google Sheets; Internal tracking only; Not customer-facing,"Accurate, consistent datetime format"
Materials at Home,Materials that parents can find at home,Semicolon-separated list,N/A,Tray; Shallow container,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Contains materials available at home; Use semicolons to separate items; Internal reference for kit planning; Not customer-facing,"Internal use only, kit planning"
Materials to Buy for Kit,Materials that need to be purchased for the kit,Semicolon-separated list,N/A,"Safe textured materials (silk, sponge, cotton)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Contains materials to be purchased for the kit; Use semicolons to separate items; Internal reference for procurement; Not customer-facing,"Internal use only, procurement planning"
